technique_id,technique_name,tactic,cwe_ids
T1562.001,Disable or Modify Tools,stealth,
T1565,Data Manipulation,impact,
T1559,Inter-Process Communication,execution,
T1001,Data Obfuscation,command-and-control,
T1039,Data from Network Shared Drive,collection,CWE-552
T1584.006,Web Services,resource-development,
T1601,Modify System Image,defense-impairment,
T1574,Hijack Execution Flow,"stealth, execution",
T1036.012,Browser Fingerprint,stealth,
T1059.011,Lua,execution,
T1027.005,Indicator Removal from Tools,stealth,
T1204.003,Malicious Image,execution,
T1543.005,Container Service,"persistence, privilege-escalation",
T1078,Valid Accounts,"stealth, persistence, privilege-escalation, initial-access",CWE-1273;CWE-262;CWE-263;CWE-307;CWE-308;CWE-309;CWE-522;CWE-654
T1571,Non-Standard Port,command-and-control,
T1585.001,Social Media Accounts,resource-development,
T1073,DLL Side-Loading,stealth,
T1055.012,Process Hollowing,"stealth, privilege-escalation",
T1068,Exploitation for Privilege Escalation,privilege-escalation,
T1564.009,Resource Forking,stealth,
T1531,Account Access Removal,impact,CWE-645
T1110.004,Credential Stuffing,credential-access,CWE-262;CWE-263;CWE-307;CWE-308;CWE-309;CWE-522;CWE-654
T1208,Kerberoasting,credential-access,
T1027,Obfuscated Files or Information,stealth,CWE-172;CWE-173;CWE-180;CWE-181;CWE-20;CWE-692;CWE-697;CWE-73;CWE-74
T1556.006,Multi-Factor Authentication,"defense-impairment, persistence, credential-access",CWE-284
T1114.002,Remote Email Collection,collection,
T1505.004,IIS Components,persistence,
T1036.001,Invalid Code Signature,stealth,CWE-20;CWE-290;CWE-327
T1683,Generate Content,resource-development,
T1564.006,Run Virtual Instance,stealth,
T1154,Trap,"execution, persistence",
T1027.014,Polymorphic Code,stealth,
T1201,Password Policy Discovery,discovery,
T1546,Event Triggered Execution,"privilege-escalation, persistence",
T1546.004,Unix Shell Configuration Modification,"privilege-escalation, persistence",
T1187,Forced Authentication,credential-access,
T1134.005,SID-History Injection,"stealth, privilege-escalation",
T1599,Network Boundary Bridging,defense-impairment,
T1486,Data Encrypted for Impact,impact,
T1488,Disk Content Wipe,impact,
T1690,Prevent Command History Logging,defense-impairment,
T1553,Subvert Trust Controls,defense-impairment,
T1548.004,Elevated Execution with Prompt,privilege-escalation,
T1592.003,Firmware,reconnaissance,
T1573,Encrypted Channel,command-and-control,
T1174,Password Filter DLL,credential-access,
T1547.002,Authentication Package,"persistence, privilege-escalation",
T1218.010,Regsvr32,stealth,
T1002,Data Compressed,exfiltration,
T1567.003,Exfiltration to Text Storage Sites,exfiltration,
T1081,Credentials in Files,credential-access,
T1592.002,Software,reconnaissance,CWE-204;CWE-205;CWE-208
T1128,Netsh Helper DLL,persistence,
T1056,Input Capture,"collection, credential-access",CWE-1021
T1566.004,Spearphishing Voice,initial-access,
T1587.004,Exploits,resource-development,
T1685,Disable or Modify Tools,defense-impairment,
T1593.001,Social Media,reconnaissance,
T1213.004,Customer Relationship Management Software,collection,
T1546.015,Component Object Model Hijacking,"privilege-escalation, persistence",
T1589.001,Credentials,reconnaissance,
T1195.002,Compromise Software Supply Chain,initial-access,CWE-494
T1036.003,Rename Legitimate Utilities,stealth,
T1102.002,Bidirectional Communication,command-and-control,
T1203,Exploitation for Client Execution,execution,
T1595.003,Wordlist Scanning,reconnaissance,
T1667,Email Bombing,impact,
T1562.011,Spoof Security Alerting,stealth,
T1137.004,Outlook Home Page,persistence,
T1573.002,Asymmetric Cryptography,command-and-control,
T1567.002,Exfiltration to Cloud Storage,exfiltration,
T1570,Lateral Tool Transfer,lateral-movement,
T1574.009,Path Interception by Unquoted Path,"stealth, execution",
T1608.003,Install Digital Certificate,resource-development,
T1168,Local Job Scheduling,"persistence, execution",
T1166,Setuid and Setgid,"privilege-escalation, persistence",
T1037.005,Startup Items,"persistence, privilege-escalation",
T1100,Web Shell,"persistence, privilege-escalation",
T1186,Process Doppelgänging,stealth,
T1184,SSH Hijacking,lateral-movement,
T1614.001,System Language Discovery,discovery,
T1095,Non-Application Layer Protocol,command-and-control,
T1075,Pass the Hash,lateral-movement,
T1059.013,Container CLI/API,execution,
T1027.003,Steganography,stealth,
T1584.002,DNS Server,resource-development,CWE-345;CWE-346;CWE-348;CWE-349;CWE-350
T1671,Cloud Application Integration,persistence,
T1001.003,Protocol or Service Impersonation,command-and-control,
T1012,Query Registry,discovery,
T1030,Data Transfer Size Limits,exfiltration,
T1028,Windows Remote Management,"execution, lateral-movement",
T1550.004,Web Session Cookie,lateral-movement,
T1078.002,Domain Accounts,"stealth, persistence, privilege-escalation, initial-access",
T1218.009,Regsvcs/Regasm,stealth,
T1034,Path Interception,"persistence, privilege-escalation",
T1546.018,Python Startup Hooks,"persistence, privilege-escalation",
T1506,Web Session Cookie,"stealth, lateral-movement",
T1553.004,Install Root Certificate,defense-impairment,CWE-284
T1037.003,Network Logon Script,"persistence, privilege-escalation",
T1499,Endpoint Denial of Service,impact,CWE-400;CWE-404
T1027.004,Compile After Delivery,stealth,
T1688,Safe Mode Boot,defense-impairment,
T1065,Uncommonly Used Port,command-and-control,
T1614,System Location Discovery,discovery,CWE-497
T1564.007,VBA Stomping,stealth,
T1197,BITS Jobs,"stealth, persistence, execution",
T1127.001,MSBuild,"stealth, execution",
T1656,Impersonation,stealth,
T1578.005,Modify Cloud Compute Configurations,defense-impairment,
T1088,Bypass User Account Control,"stealth, privilege-escalation",
T1494,Runtime Data Manipulation,impact,
T1090.004,Domain Fronting,command-and-control,CWE-923
T1557.002,ARP Cache Poisoning,"credential-access, collection",CWE-345;CWE-346;CWE-348;CWE-349
T1562.008,Disable or Modify Cloud Logs,stealth,
T1518.001,Security Software Discovery,discovery,
T1564.003,Hidden Window,stealth,
T1493,Transmitted Data Manipulation,impact,
T1127.002,ClickOnce,"stealth, execution",
T1059.006,Python,execution,
T1070.010,Relocate Malware,stealth,
T1591.004,Identify Roles,reconnaissance,
T1132,Data Encoding,command-and-control,
T1546.010,AppInit DLLs,"privilege-escalation, persistence",
T1598,Phishing for Information,reconnaissance,
T1496,Resource Hijacking,impact,
T1684.001,Impersonation,stealth,
T1585,Establish Accounts,resource-development,
T1588,Obtain Capabilities,resource-development,
T1546.002,Screensaver,"privilege-escalation, persistence",
T1147,Hidden Users,stealth,
T1556.009,Conditional Access Policies,"defense-impairment, persistence, credential-access",
T1578.002,Create Cloud Instance,defense-impairment,
T1500,Compile After Delivery,stealth,
T1555.006,Cloud Secrets Management Stores,credential-access,
T1213.003,Code Repositories,collection,
T1565.002,Transmitted Data Manipulation,impact,CWE-285;CWE-425;CWE-693
T1003.008,/etc/passwd and /etc/shadow,credential-access,
T1543.001,Launch Agent,"persistence, privilege-escalation",
T1569,System Services,execution,
T1059.003,Windows Command Shell,execution,
T1055.009,Proc Memory,"stealth, privilege-escalation",
T1223,Compiled HTML File,"stealth, execution",
T1650,Acquire Access,resource-development,
T1601.001,Patch System Image,defense-impairment,
T1558.002,Silver Ticket,credential-access,
T1213,Data from Information Repositories,collection,
T1070.009,Clear Persistence,stealth,
T1059.012,Hypervisor CLI,execution,
T1146,Clear Command History,stealth,
T1555.004,Windows Credential Manager,credential-access,
T1036.010,Masquerade Account Name,stealth,
T1519,Emond,"persistence, privilege-escalation",
T1194,Spearphishing via Service,initial-access,
T1200,Hardware Additions,initial-access,
T1219.002,Remote Desktop Software,command-and-control,
T1505,Server Software Component,persistence,
T1485,Data Destruction,impact,
T1132.002,Non-Standard Encoding,command-and-control,
T1556.001,Domain Controller Authentication,"defense-impairment, persistence, credential-access",
T1537,Transfer Data to Cloud Account,exfiltration,
T1027.006,HTML Smuggling,stealth,CWE-270;CWE-272;CWE-282;CWE-59;CWE-94;CWE-95;CWE-96;CWE-97
T1556.005,Reversible Encryption,"defense-impairment, persistence, credential-access",
T1027.010,Command Obfuscation,stealth,
T1130,Install Root Certificate,stealth,
T1022,Data Encrypted,exfiltration,
T1070.004,File Deletion,stealth,
T1189,Drive-by Compromise,initial-access,
T1498,Network Denial of Service,impact,
T1651,Cloud Administration Command,execution,
T1546.016,Installer Packages,"privilege-escalation, persistence",
T1595.001,Scanning IP Blocks,reconnaissance,
T1158,Hidden Files and Directories,"stealth, persistence",
T1221,Template Injection,stealth,
T1037.004,RC Scripts,"persistence, privilege-escalation",
T1134,Access Token Manipulation,"stealth, privilege-escalation",CWE-1270;CWE-287;CWE-290;CWE-302;CWE-346;CWE-384;CWE-539;CWE-6;CWE-602;CWE-642;CWE-664
T1209,Time Providers,persistence,
T1111,Multi-Factor Authentication Interception,credential-access,CWE-200;CWE-311
T1159,Launch Agent,persistence,
T1027.002,Software Packing,stealth,
T1584.007,Serverless,resource-development,
T1071.001,Web Protocols,command-and-control,
T1059.005,Visual Basic,execution,
T1564.005,Hidden File System,stealth,
T1543.002,Systemd Service,"persistence, privilege-escalation",
T1668,Exclusive Control,persistence,
T1563.002,RDP Hijacking,lateral-movement,
T1136,Create Account,persistence,
T1547.013,XDG Autostart Entries,"persistence, privilege-escalation",
T1584.004,Server,resource-development,
T1672,Email Spoofing,stealth,
T1526,Cloud Service Discovery,discovery,
T1204.004,Malicious Copy and Paste,execution,
T1151,Space after Filename,"stealth, execution",
T1018,Remote System Discovery,discovery,CWE-200
T1046,Network Service Discovery,discovery,CWE-200
T1590.001,Domain Properties,reconnaissance,
T1518,Software Discovery,discovery,
T1538,Cloud Service Dashboard,discovery,
T1055.005,Thread Local Storage,"stealth, privilege-escalation",
T1622,Debugger Evasion,"stealth, discovery",
T1036.006,Space after Filename,stealth,CWE-430;CWE-46
T1547.007,Re-opened Applications,"persistence, privilege-escalation",
T1608.006,SEO Poisoning,resource-development,
T1550.002,Pass the Hash,lateral-movement,CWE-294;CWE-308;CWE-522;CWE-836
T1052,Exfiltration Over Physical Medium,exfiltration,CWE-1266
T1574.002,DLL Side-Loading,"stealth, execution",CWE-706
T1105,Ingress Tool Transfer,command-and-control,
T1216.002,SyncAppvPublishingServer,stealth,
T1098.002,Additional Email Delegate Permissions,"persistence, privilege-escalation",
T1588.003,Code Signing Certificates,resource-development,
T1126,Network Share Connection Removal,stealth,
T1648,Serverless Execution,execution,
T1548.006,TCC Manipulation,privilege-escalation,
T1084,Windows Management Instrumentation Event Subscription,persistence,
T1160,Launch Daemon,"persistence, privilege-escalation",
T1027.018,Invisible Unicode,stealth,
T1055.008,Ptrace System Calls,"stealth, privilege-escalation",
T1653,Power Settings,persistence,
T1027.007,Dynamic API Resolution,stealth,
T1021.001,Remote Desktop Protocol,lateral-movement,
T1037.001,Logon Script (Windows),"persistence, privilege-escalation",
T1055.015,ListPlanting,"stealth, privilege-escalation",
T1665,Hide Infrastructure,command-and-control,
T1484,Domain or Tenant Policy Modification,"defense-impairment, privilege-escalation",
T1220,XSL Script Processing,stealth,
T1596.005,Scan Databases,reconnaissance,
T1564.001,Hidden Files and Directories,stealth,
T1578.001,Create Snapshot,defense-impairment,
T1591.001,Determine Physical Locations,reconnaissance,
T1137.002,Office Test,persistence,
T1587,Develop Capabilities,resource-development,
T1173,Dynamic Data Exchange,execution,
T1003.003,NTDS,credential-access,
T1686.001,Cloud Firewall,defense-impairment,
T1602.001,SNMP (MIB Dump),collection,
T1686,Disable or Modify System Firewall,defense-impairment,
T1001.002,Steganography,command-and-control,CWE-506
T1204.001,Malicious Link,execution,
T1550.001,Application Access Token,lateral-movement,
T1547.008,LSASS Driver,"persistence, privilege-escalation",
T1569.002,Service Execution,execution,
T1078.004,Cloud Accounts,"stealth, persistence, privilege-escalation, initial-access",
T1480.001,Environmental Keying,stealth,
T1008,Fallback Channels,command-and-control,
T1680,Local Storage Discovery,discovery,
T1564.004,NTFS File Attributes,stealth,
T1558.003,Kerberoasting,credential-access,CWE-262;CWE-263;CWE-294;CWE-308;CWE-309;CWE-521;CWE-522
T1096,NTFS File Attributes,stealth,
T1003.006,DCSync,credential-access,
T1124,System Time Discovery,discovery,CWE-200
T1053.002,At,"execution, persistence, privilege-escalation",
T1035,Service Execution,execution,
T1055.001,Dynamic-link Library Injection,"stealth, privilege-escalation",
T1086,PowerShell,execution,
T1588.005,Exploits,resource-development,
T1556,Modify Authentication Process,"defense-impairment, persistence, credential-access",
T1546.017,Udev Rules,"persistence, privilege-escalation",
T1056.004,Credential API Hooking,"collection, credential-access",CWE-311;CWE-319;CWE-419;CWE-602
T1495,Firmware Corruption,impact,
T1490,Inhibit System Recovery,impact,
T1546.007,Netsh Helper DLL,"privilege-escalation, persistence",
T1566.003,Spearphishing via Service,initial-access,
T1090.001,Internal Proxy,command-and-control,CWE-441
T1216,System Script Proxy Execution,stealth,
T1094,Custom Command and Control Protocol,command-and-control,
T1102.001,Dead Drop Resolver,command-and-control,
T1118,InstallUtil,"stealth, execution",
T1001.001,Junk Data,command-and-control,
T1598.001,Spearphishing Service,reconnaissance,
T1043,Commonly Used Port,command-and-control,
T1505.006,vSphere Installation Bundles,persistence,
T1552.007,Container API,credential-access,
T1584.001,Domains,resource-development,
T1505.001,SQL Stored Procedures,persistence,
T1556.004,Network Device Authentication,"defense-impairment, persistence, credential-access",
T1561.001,Disk Content Wipe,impact,
T1213.005,Messaging Applications,collection,
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,exfiltration,
T1027.015,Compression,stealth,
T1574.004,Dylib Hijacking,"stealth, execution",
T1601.002,Downgrade System Image,defense-impairment,
T1684.002,Email Spoofing,stealth,
T1078.003,Local Accounts,"stealth, persistence, privilege-escalation, initial-access",
T1669,Wi-Fi Networks,initial-access,
T1211,Exploitation for Stealth,stealth,CWE-1188;CWE-288;CWE-345;CWE-353;CWE-862
T1127,Trusted Developer Utilities Proxy Execution,"stealth, execution",
T1529,System Shutdown/Reboot,impact,
T1218.014,MMC,stealth,
T1564.010,Process Argument Spoofing,stealth,
T1077,Windows Admin Shares,lateral-movement,
T1574.012,COR_PROFILER,"stealth, execution",
